GeneID,elp1D_1
YJL079C,70.4
YJL078C,60.7
YJL071W,4.6
YJL070C,4
YJL068C,63.7
YJL066C,22.7
YJL063C,36.7
YJL062W,20.2
YJL061W,25.7
YJL060W,54.6
YJL059W,7
YJL058C,4.3
YJL057C,3.4
YJL055W,75.8
YJL053W,21.7
YJL051W,6.9
YJL050W,72.4
YJL048C,5.7
YJL047C,5.1
YJL045W,0.4
YJL044C,18.5
YJL043W,0.4
YJL041W,90.5
YJL036W,16
YJL034W,442.2
YJL033W,42.8
YJL031C,26.7
YJL025W,2.6
YJL023C,3.2
YJL020C,54.2
YJL014W,184.7
YJL013C,10.2
YJL012C,304.6
YJL010C,32.4
YJL008C,152.3
YJL005W,6.4
YJL002C,135.7
YJR001W,42
YJR002W,57.3
YJR003C,14.8
YJR004C,0.2
YJR005W,15.2
YJR008W,3.3
YJR010W,15.8
YJR011C,7.8
YJR013W,16.1
YJR015W,51
YJR019C,9.7
YJR024C,54.1
YJR030C,6.7
YJR035W,4.1
YJR036C,1
YJR039W,2
YJR042W,30.2
YJR046W,16.4
YJR049C,17.1
YJR051W,26.1
YJR052W,701.5
YJR054W,4.9
YJR056C,16.4
YJR060W,51.4
YJR061W,0.2
YJR062C,12.9
YJR064W,192.1
YJR068W,39.5
YJR072C,75.5
YJR075W,88.6
YJR076C,74
YJR078W,3.6
YJR083C,11.4
YJR088C,85.7
YJR089W,4.8
YJR091C,15.9
YJR092W,21.5
YJR093C,16.1
YJR094C,7.5
YJR095W,0.6
YJR096W,11.7
YJR098C,3.6
YJR099W,25.6
YJR101W,61.7
YJR103W,35.8
YJR105W,437.4
YJR106W,4.4
YJR113C,35.2
YJR116W,14.2
YJR119C,3
YJR121W,321.6
YJR122W,5.8
YJR124C,27.9
YJR125C,79.4
YJR130C,10.4
YJR132W,20.3
YJR135C,6.2
YJR139C,539.2
YJR141W,8.2
YJR142W,34
YJR144W,63.3
YJR150C,0.5
YJR153W,0.3
YJR154W,0.6
YKL222C,0.8
YKL221W,0.1
YKL217W,0.7
YKL215C,20.6
YKL212W,120.2
YKL211C,77.9
YKL210W,305.7
YKL209C,36.3
YKL207W,112.3
YKL206C,35.9
YKL205W,23.5
YKL204W,31.4
YKL203C,6
YKL198C,6.1
YKL195W,62.4
YKL194C,9.2
YKL193C,29.8
YKL191W,46
YKL189W,10.7
YKL188C,0.5
YKL187C,0.1
YKL185W,40.1
YKL184W,101.6
YKL183W,30.4
YKL182W,335.7
YKL179C,26.3
YKL175W,48.3
YKL174C,17.1
YKL173W,13.8
YKL172W,117.5
YKL168C,5.6
YKL166C,28.8
YKL165C,25.3
YKL162C,2.9
YKL161C,4
YKL155C,9.6
YKL150W,59.3
YKL149C,8.2
YKL148C,17.1
YKL145W,213.7
YKL143W,45.3
YKL140W,15.9
YKL139W,13.7
YKL135C,26.5
YKL133C,1.8
YKL132C,0.6
YKL130C,40.8
YKL126W,65.2
