GeneID,WT_1
YIL125W,57.6
YIL124W,70.4
YIL123W,363.4
YIL122W,2.2
YIL121W,19.4
YIL120W,1.1
YIL117C,39.9
YIL116W,54.5
YIL115C,32.5
YIL114C,30
YIL110W,33.5
YIL109C,101.3
YIL106W,28.2
YIL105C,15.2
YIL104C,13.4
YIL103W,24.2
YIL099W,0.1
YIL095W,9
YIL094C,139.4
YIL093C,27.8
YIL091C,26.5
YIL090W,16.5
YIL088C,33.8
YIL085C,17.7
YIL084C,15.4
YIL083C,35.3
YIL077C,7.4
YIL076W,127.5
YIL075C,124.6
YIL073C,0.1
YIL072W,0.6
YIL071C,3.3
YIL070C,65.7
YIL061C,19.9
YIL055C,2.4
YIL050W,22.7
YIL049W,13.5
YIL045W,5.6
YIL044C,42.9
YIL042C,16.3
YIL041W,189
YIL039W,55.7
YIL038C,40.1
YIL037C,0.1
YIL036W,22.5
YIL034C,73.1
YIL030C,41.1
YIL023C,19
YIL021W,78.2
YIL020C,37.9
YIL019W,24
YIL015W,101.4
YIL014W,12.1
YIL011W,27.6
YIL006W,1.8
YIL003W,14.7
YIL001W,5.7
YIR003W,20.3
YIR004W,34.1
YIR008C,23.6
YIR011C,27
YIR012W,80.7
YIR014W,5.3
YIR018W,13.5
YIR021W,10.1
YIR026C,41.5
YIR027C,0.4
YIR028W,0.5
YIR029W,0.6
YIR031C,1
YIR033W,20.9
YIR034C,47.5
YIR036C,38.4
YIR042C,1
YJL216C,0.1
YJL213W,0.2
YJL210W,9
YJL209W,4.8
YJL208C,32.5
YJL203W,14.4
YJL201W,16.5
YJL200C,59.9
YJL197W,14.1
YJL196C,102.4
YJL193W,11.6
YJL192C,113.5
YJL187C,5.2
YJL186W,64.7
YJL185C,4.5
YJL183W,65.3
YJL180C,17.8
YJL178C,79.7
YJL176C,18.5
YJL174W,122.6
YJL172W,135.3
YJL171C,101.3
YJL168C,18.3
YJL167W,287.2
YJL165C,14.1
YJL162C,6
YJL160C,0.3
YJL155C,9.4
YJL153C,0.4
YJL147C,5.4
YJL146W,9.3
YJL145W,71.1
YJL139C,7.9
YJL137C,9.3
YJL133W,14.2
YJL132W,2.6
YJL131C,9.5
YJL130C,165.9
YJL128C,21.2
YJL127C,6.6
YJL126W,10.9
YJL125C,26.3
YJL123C,61.8
YJL117W,141
YJL116C,1.6
YJL111W,138.3
YJL109C,42.3
YJL105W,0.7
YJL103C,0.7
YJL101C,26.9
YJL100W,2.6
YJL095W,6.2
YJL091C,23.8
YJL089W,0.1
YJL088W,6
YJL087C,15.6
YJL084C,9.2
YJL083W,4.3
YJL082W,16.6
YJL081C,28.4
YJL080C,222.2
YJL078C,42.7
YJL074C,15.6
YJL071W,6.6
YJL069C,34.8
YJL068C,73.5
YJL066C,24.1
YJL063C,42.2
YJL061W,25
YJL060W,45.9
YJL058C,4.8
YJL056C,2.8
YJL055W,84.3
YJL054W,29.1
YJL053W,21
YJL050W,64.8
YJL049W,9.2
YJL046W,10
YJL042W,15.3
YJL041W,75.5
YJL036W,17.7
YJL035C,9.6
YJL034W,443.4
YJL033W,38.8
YJL031C,24
YJL029C,56.5
YJL023C,3.3
YJL020C,46.4
YJL016W,4.1
YJL014W,162
YJL012C,329
YJL010C,37
YJL008C,172.1
YJL006C,14.3
YJL005W,9.4
YJL002C,141.1
YJR001W,35
YJR002W,42.2
YJR003C,18.3
YJR004C,0.4
YJR005W,19.7
YJR006W,16
YJR008W,2.4
YJR010W,17.9
YJR011C,10
YJR013W,20.6
YJR019C,10.1
YJR024C,53.4
YJR030C,11.3
YJR032W,38.6
YJR036C,0.7
YJR040W,14.8
YJR041C,18.3
YJR042W,26.6
YJR043C,19.9
YJR046W,14.7
YJR049C,21.6
YJR050W,15
YJR051W,31.6
YJR052W,866.8
YJR054W,6.7
YJR059W,21.4
YJR062C,13.3
YJR064W,179.6
YJR065C,127.5
YJR066W,6.7
YJR068W,39.6
YJR072C,67.9
YJR075W,84.7
YJR080C,25.6
YJR083C,14.9
YJR084W,11.2
YJR088C,69.4
YJR090C,9.1
YJR091C,16.5
YJR092W,23.5
YJR093C,20.4
YJR096W,18
YJR098C,3.2
YJR103W,23.5
YJR106W,4.7
YJR107W,0.1
YJR109C,58.2
YJR110W,5.6
YJR111C,15.5
YJR113C,38.2
YJR116W,19.3
YJR117W,104.9
YJR121W,291.1
YJR124C,21.2
YJR125C,62.8
YJR129C,8.4
YJR131W,22.8
YJR132W,23.7
