GeneID,Phi
YGR012W,40.849999999999994
YGR015C,11
YGR016W,17.85
YGR021W,22.3
YGR026W,250.35
YGR028W,42
YGR029W,39.400000000000006
YGR031C-A,0.30000000000000004
YGR033C,77.05
YGR040W,25.200000000000003
YGR046W,25.7
YGR047C,21.049999999999997
YGR048W,52.45
YGR052W,3.85
YGR053C,4.45
YGR056W,21.85
YGR059W,0.25
YGR060W,848.45
YGR062C,10.15
YGR065C,48.650000000000006
YGR066C,1.5
YGR068C,10.55
YGR070W,2.85
YGR076C,76.75
YGR078C,98.5
YGR081C,68.15
YGR086C,588.5999999999999
YGR089W,25.25
YGR091W,13.15
YGR095C,56.65
YGR096W,5.45
YGR100W,24.45
YGR101W,34.4
YGR102C,24.75
YGR103W,212.6
YGR104C,32.05
YGR106C,621.05
YGR110W,2.5999999999999996
YGR111W,56.75
YGR112W,14.8
YGR117C,46.9
YGR122W,26.75
YGR125W,31.25
YGR126W,14.4
YGR128C,87.95
YGR131W,14.45
YGR132C,216.6
YGR140W,16.8
YGR141W,32.1
YGR142W,58.6
YGR144W,1.1
YGR145W,61.3
YGR147C,57.45
YGR154C,1.4500000000000002
YGR156W,30.05
YGR161C,60.349999999999994
YGR163W,53.25
YGR167W,292.9
YGR168C,9.45
YGR171C,13.95
YGR178C,88.1
YGR179C,19.75
YGR184C,44
YGR188C,4.949999999999999
YGR189C,275.85
YGR191W,97.05
YGR193C,108.4
YGR194C,21.3
YGR195W,65.4
YGR198W,41
YGR200C,61.099999999999994
YGR204W,247.25
YGR205W,65
YGR207C,148.85000000000002
YGR208W,154.8
YGR210C,45.4
YGR212W,10.6
YGR213C,5.45
YGR218W,161.85
YGR220C,67.05
YGR223C,18
YGR224W,0.8
YGR229C,113.9
YGR232W,129.25
YGR233C,49
YGR235C,90.2
YGR237C,18.7
YGR240C,822.05
YGR241C,35.5
YGR247W,29.2
YGR248W,3.85
YGR249W,0.95
YGR251W,26.5
YGR253C,367.85
YGR255C,39.85
YGR256W,1.5499999999999998
YGR261C,63.95
YGR264C,425.2000000000001
YGR266W,46.05
YGR270W,24.6
YGR280C,53.9
YGR282C,1167.75
YGR286C,27.1
YGR288W,5.9
YGR289C,0.9
YHL044W,10.55
YHL043W,0.75
YHL040C,167.35
YHL038C,13.35
YHL032C,3.15
YHL031C,39.9
YHL026C,7.050000000000001
YHL025W,25.85
YHL023C,13.7
YHL014C,22.85
YHL012W,0.30000000000000004
YHL011C,217.9
YHL008C,12.85
YHL007C,36.4
YHL004W,65.9
YHR002W,9.95
YHR003C,38.85
YHR004C,15.75
YHR006W,25.4
YHR007C,550.65
YHR008C,148.89999999999998
YHR009C,53.25
YHR011W,15.15
YHR012W,83.1
YHR013C,155.3
YHR014W,0.1
YHR016C,37.55
YHR019C,525.55
YHR021W-A,1.7
YHR022C,1.85
YHR024C,65.5
YHR025W,253.45
