# Created by: riboviz
# Date: 2025-11-20 22:00:12.657421
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	OTTR_P1_2
YDR177W	180.5
YDR178W	78.3
YDR179C	30.2
YDR179W-A	12.5
YDR180W	18.2
YDR181C	16.8
YDR182W	87.4
YDR182W-A	79.3
YDR183W	32.8
YDR184C	31.6
YDR185C	7.1
YDR186C	30.6
YDR188W	178.3
YDR189W	81.3
YDR190C	182.7
YDR191W	14.3
YDR192C	20.8
YDR194C	103.8
YDR194W-A	0
YDR195W	21.7
YDR196C	44.1
YDR197W	16.8
YDR198C	20.6
YDR200C	17
YDR201W	41.2
YDR202C	31.2
YDR204W	39.3
YDR205W	31.2
YDR206W	25.3
YDR207C	12.5
YDR208W	38.1
YDR210W	214.3
YDR211W	110.3
YDR212W	286.4
YDR213W	17.2
YDR214W	174.9
YDR216W	9.9
YDR217C	16.5
YDR218C	0.4
YDR219C	33
YDR221W	39.7
YDR222W	19.1
YDR223W	0.8
YDR224C	1593
YDR225W	1285.7
YDR226W	1176.5
YDR227W	13.6
YDR228C	26.4
YDR229W	30
YDR231C	23.2
YDR232W	96
YDR233C	743.9
YDR234W	49.5
YDR235W	28.1
YDR236C	45.3
YDR237W	68.1
YDR238C	232.3
YDR239C	15.7
YDR240C	21.3
YDR242W	2.7
YDR243C	17
YDR244W	30.9
YDR245W	118.3
YDR246W	43.4
YDR246W-A	12.9
YDR247W	13.7
YDR248C	39.9
YDR249C	6.2
YDR251W	45.1
YDR252W	16.8
YDR253C	3.4
YDR254W	12
YDR255C	12.5
YDR256C	0.3
YDR257C	39.8
YDR258C	87.3
YDR259C	2.7
YDR260C	38.7
YDR261C	55.8
YDR262W	73.3
YDR263C	1.5
YDR264C	147.3
YDR265W	14.5
YDR266C	41.7
YDR267C	37.9
YDR268W	34
YDR270W	39.7
YDR272W	96
YDR273W	2.3
YDR275W	15.7
YDR276C	1361.1
YDR277C	3.6
YDR279W	40.9
YDR280W	69.7
YDR281C	26.1
YDR282C	12.7
YDR283C	22.6
YDR284C	109.3
YDR285W	1.9
YDR286C	45.4
YDR287W	27.8
YDR288W	17
YDR289C	44.6
YDR291W	11.6
YDR292C	85.9
YDR293C	56.8
YDR294C	82.4
YDR295C	21.1
YDR296W	61.3
YDR297W	144.1
YDR298C	205
YDR299W	57.8
YDR300C	128.4
YDR301W	23.9
YDR302W	89.4
YDR303C	59
YDR304C	452.9
YDR305C	80.3
YDR306C	19.9
YDR307W	62.2
YDR308C	76
YDR309C	79.2
YDR310C	26.2
