# Created by: riboviz
# Date: 2026-03-12 11:46:19.396859
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
19	8	0
20	8	9
21	8	4
22	8	10
23	8	11
24	8	16
25	8	20
26	8	49
27	8	90
28	8	173
29	8	496
30	8	1061
31	8	1433
32	8	1895
33	8	1296
34	8	399
35	8	32
36	8	6
37	8	1
38	8	0
39	8	0
40	8	0
41	8	0
42	8	0
43	8	0
44	8	0
45	8	0
46	8	0
47	8	0
48	8	0
49	8	0
50	8	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	2
17	9	1
18	9	2
19	9	9
20	9	2
21	9	2
22	9	8
23	9	11
24	9	21
25	9	40
26	9	61
27	9	69
28	9	153
29	9	1295
30	9	3385
31	9	5049
32	9	4120
33	9	1437
34	9	279
35	9	35
36	9	3
37	9	1
38	9	2
39	9	0
40	9	0
41	9	0
42	9	0
43	9	0
44	9	0
45	9	0
46	9	0
47	9	0
48	9	0
49	9	0
50	9	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	2
16	10	2
17	10	0
18	10	3
19	10	3
20	10	3
21	10	6
22	10	9
23	10	10
24	10	29
25	10	57
26	10	51
27	10	71
28	10	435
29	10	1636
30	10	3432
31	10	3124
32	10	1312
33	10	424
34	10	180
35	10	28
36	10	1
37	10	1
38	10	0
39	10	0
40	10	0
41	10	0
42	10	0
43	10	0
44	10	0
45	10	0
46	10	0
47	10	0
48	10	0
49	10	0
50	10	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	1
16	11	3
17	11	1
18	11	1
19	11	7
20	11	2
21	11	5
22	11	5
23	11	10
24	11	30
25	11	21
26	11	66
27	11	64
28	11	160
29	11	382
30	11	996
31	11	1500
32	11	2037
33	11	1378
34	11	368
35	11	48
36	11	3
37	11	3
38	11	0
39	11	0
40	11	0
41	11	0
42	11	0
43	11	0
44	11	0
45	11	0
46	11	0
47	11	0
48	11	0
49	11	0
50	11	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	2
16	12	3
17	12	3
18	12	0
19	12	2
20	12	10
21	12	5
22	12	5
23	12	17
24	12	29
25	12	44
26	12	65
27	12	77
28	12	143
29	12	1329
30	12	3754
31	12	5346
32	12	4122
33	12	1295
34	12	227
35	12	39
36	12	7
37	12	1
38	12	1
39	12	0
40	12	0
41	12	0
42	12	0
43	12	0
44	12	0
45	12	0
46	12	0
47	12	0
48	12	0
49	12	0
50	12	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	2
16	13	2
17	13	2
18	13	5
19	13	6
20	13	8
21	13	2
22	13	11
23	13	15
24	13	24
25	13	29
26	13	49
27	13	67
28	13	349
29	13	1663
30	13	3404
31	13	2844
32	13	1196
33	13	572
34	13	125
35	13	22
36	13	1
37	13	2
38	13	1
39	13	0
40	13	0
41	13	0
42	13	0
43	13	0
44	13	0
45	13	0
46	13	0
47	13	0
48	13	0
49	13	0
50	13	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	3
18	14	2
19	14	0
20	14	2
21	14	8
22	14	6
23	14	15
24	14	32
25	14	26
26	14	35
27	14	80
28	14	162
29	14	379
30	14	971
31	14	1922
32	14	2564
33	14	1814
34	14	491
35	14	37
36	14	8
37	14	1
38	14	0
39	14	0
40	14	0
41	14	0
42	14	0
43	14	0
44	14	0
45	14	0
46	14	0
47	14	0
48	14	0
49	14	0
50	14	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	1
16	15	3
17	15	4
18	15	2
19	15	3
20	15	1
21	15	4
22	15	7
23	15	10
24	15	20
25	15	56
26	15	71
27	15	88
28	15	150
29	15	1348
30	15	4532
31	15	7478
32	15	5577
33	15	1487
34	15	186
35	15	21
36	15	9
37	15	3
38	15	2
39	15	1
40	15	0
41	15	0
42	15	0
43	15	0
44	15	0
45	15	0
46	15	0
47	15	0
48	15	0
49	15	0
50	15	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	1
16	16	6
17	16	0
18	16	2
19	16	4
20	16	2
21	16	6
22	16	10
23	16	5
24	16	31
25	16	39
26	16	52
27	16	73
28	16	277
29	16	1531
30	16	3538
31	16	2854
32	16	1007
33	16	387
34	16	131
35	16	21
36	16	2
37	16	0
38	16	0
39	16	0
40	16	1
41	16	0
42	16	0
43	16	0
44	16	0
45	16	0
46	16	0
47	16	0
48	16	0
49	16	0
50	16	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	2
16	17	0
17	17	2
18	17	3
19	17	1
20	17	8
21	17	4
22	17	2
23	17	17
24	17	20
25	17	26
26	17	45
27	17	96
28	17	178
29	17	451
30	17	1326
31	17	2193
32	17	2835
33	17	1638
34	17	442
35	17	59
36	17	3
37	17	2
38	17	1
39	17	1
40	17	0
41	17	0
42	17	0
43	17	0
44	17	0
45	17	0
46	17	0
47	17	0
48	17	0
49	17	0
50	17	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	1
16	18	2
17	18	4
18	18	3
19	18	3
20	18	4
21	18	4
22	18	3
23	18	20
24	18	17
25	18	47
26	18	53
